timestamp,switch_id,porta,tx_bytes,rx_bytes,tx_pacotes,rx_pacotes
2026-06-25 01:58:43,1,1,47622,3475902,109,3343
2026-06-25 01:58:43,1,2,4048562,54332524550,61269,1050041
2026-06-25 01:58:43,1,3,54176346902,4093184,1050133,61338
2026-06-25 01:58:46,1,1,49392,3618374,112,3481
2026-06-25 01:58:46,1,2,4048562,54332558832,61269,1050066
2026-06-25 01:58:46,1,3,54176489374,4094954,1050271,61341
2026-06-25 01:58:49,1,1,51204,3752552,116,3614
2026-06-25 01:58:49,1,2,4048562,54332558832,61269,1050066
2026-06-25 01:58:49,1,3,54176623552,4096766,1050404,61345
2026-06-25 01:58:52,1,1,52974,3897510,119,3753
2026-06-25 01:58:52,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:58:52,1,3,54176768552,4098578,1050544,61349
2026-06-25 01:58:55,1,1,53564,3937730,120,3793
2026-06-25 01:58:55,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:58:55,1,3,54176808772,4099168,1050584,61350
2026-06-25 01:58:58,1,1,53564,3937730,120,3793
2026-06-25 01:58:58,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:58:58,1,3,54176808772,4099168,1050584,61350
2026-06-25 01:59:01,1,1,53564,3937730,120,3793
2026-06-25 01:59:01,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:59:01,1,3,54176808842,4099168,1050585,61350
2026-06-25 01:59:04,1,1,53564,3937730,120,3793
2026-06-25 01:59:04,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:59:04,1,3,54176808842,4099168,1050585,61350
2026-06-25 01:59:07,1,1,53564,3937730,120,3793
2026-06-25 01:59:07,1,2,4048604,54332558874,61270,1050067
2026-06-25 01:59:07,1,3,54176808842,4099168,1050585,61350
2026-06-25 01:59:10,1,1,53564,3937730,120,3793
2026-06-25 01:59:10,1,2,4048674,54332558874,61271,1050067
2026-06-25 01:59:10,1,3,54176808842,4099168,1050585,61350
2026-06-25 01:59:13,1,1,53564,3937800,120,3794
2026-06-25 01:59:13,1,2,4048744,54332580704,61272,1050082
2026-06-25 01:59:13,1,3,54176808912,4099168,1050586,61350
2026-06-25 01:59:16,1,1,53564,3937800,120,3794
2026-06-25 01:59:16,1,2,4048744,54332593156,61272,1050092
2026-06-25 01:59:16,1,3,54176808912,4099168,1050586,61350
2026-06-25 01:59:19,1,1,53564,3937800,120,3794
2026-06-25 01:59:19,1,2,4048744,54332593156,61272,1050092
2026-06-25 01:59:19,1,3,54176808912,4099168,1050586,61350
2026-06-25 01:59:22,1,1,53564,3937800,120,3794
2026-06-25 01:59:22,1,2,4048744,54332593156,61272,1050092
2026-06-25 01:59:22,1,3,54176808912,4099168,1050586,61350
2026-06-25 01:59:25,1,1,53634,3937800,121,3794
2026-06-25 01:59:25,1,2,4048814,54332593156,61273,1050092
2026-06-25 01:59:25,1,3,54176808912,4099238,1050586,61351
2026-06-25 01:59:28,1,1,53774,3937800,123,3794
2026-06-25 01:59:28,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:28,1,3,54176808982,4099238,1050587,61351
